Year,Place,Points,No.,Country,Performer,Song,Lyrics
2018,6,281,14,Czechia,Mikolas Josef,Lie To Me,"Oh oh she a good girl at home but
Her skirt goes up like Marilyn Monroe's
Papa likes the drama mama hotter then lava
She rocking high heels Prada her face like Madonna
By the way she moved got me making a puddle
Baby I already knew you would be nothing but a trouble
Damn it everybody knows she never loved for real
Honey bunny up all night wannabe couplegoals queen

I know you 'bop-whop-a-lu bop' on his wood bamboo
When you were still seeing me and well he didn't even knew hmm
But God damn it come and count to three now sit down GGY
I'm on fire

Come and lie to me
Lie to me oh baby come a little closer
Lie to me
Lie to me oh baby lean upon my shoulder
Lie to me
Get down on my body and love me like it was always meant to be
Now you love somebody new I always knew
So come and give it to me

When the beat dropped she dropped, dropped it like it's hot
And now without a second thought she got me doing what I'm not
Then it got heavy Mom I'm feeling home already
But steady plenty these greedies wanna eat my spaghetti
Then she got one of my friends
She got him dripping on wood
I know it hurt so bad but it feels so good
Quit sweet talking me now baby I don't give a damn
You should've thought about me back when I was your man

I know you 'bop-whop-a-lu bop' on his wood bamboo
When you were still seeing me and well he didn't even knew hmm
But God damn it come and count to three now sit down GGY
I'm on fire

Come and lie to me
Lie to me oh baby come a little closer
Lie to me
Lie to me oh baby lean upon my shoulder
Lie to me
Get down on my body and love me like it was always meant to be
Now you love somebody new I always knew
So come and give it to me

You know I like it
When you lie lie lie
You look so good
When you lie lie lie
Set my camel in the mood
When you lie
When you lie

Come and lie to me
Lie to me oh baby come a little closer
Lie to me
Lie to me oh baby lean upon my shoulder
Lie to me
Get down on my body and love me like it was always meant to be
Now you love somebody new I always knew
So come and give it to me

"
2018,7,274,20,Sweden,Benjamin Ingrosso,Dance You Off,"I see that look in your eyes
But I ain't feeling no pressure (pressure)
Feels like I'm stuck here in time
While I've been trying to forget ya (forget ya)
Just wanna da-da-dance you off (hey)
So don't you da-da-dare wait up
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now
Yeah, I might now
Just trying to have myself a time (have myself a time)
So I just don't care if you mind (don't care if you mind)
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now
Yeah, I might now
Treating you good, we were gold
I dug you like you were treasure (treasure)
So don't act like I'm the cruel one
When I know you know better (and I know you know better)
And I (and I)
Oh, I used to think that you were worth the best in life
'Cause I loved it, I loved it
Feels like I'm stuck here in time
While I've been trying to forget ya (forget ya)
Just wanna da-da-dance you off (wanna dance you off)
So don't you da-da-dare wait up (don't you dare wait up)
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now
Yeah, I might now
Just trying to have myself a time (have myself a time)
So I just don't care if you mind (don't care if you mind)
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now (I might now)
Yeah, I might now (yeah, I might)
I'm just gonna dance you off the floor
I used to think that you were worth my every night
I might
Just wanna da-da-dance you off (you) (wanna dance you off)
So don't you da-da-dare wait up (don't you dare wait up on me now)
'Cause I just wanna feel the mood
Girl, with anyone but you
And I might now (yeah, I might)
I might now (I might now)
Just trying to have myself a time (I'm just gonna to have myself a time)
So I just don't care if you mind (don't care if you mind)
'Cause I just wanna feel the mood
Girl, with anyone but you
I might now (I might now)
I might now
"
2018,8,245,6,Estonia,Elina Nechayeva,La Forza,"Sai, nella notte per me una stella c'è
Lei mi rischiara la via per l'eternità
È mia guida nell'immensità
Che non mi lascia mai
La forza del destino volteggiar mi fa
L'ora è vicina di felicità
È un sogno o realtà la nostra affinità?
Sull'ali dell'amore rosé
Quando men vo per la via sempre libera
Vorrei che intorno a noi sia una favola
Nostro amore, guida a noi sarà
Nell'infinito per l'eternità
La forza del destino volteggiar mi fa
L'ora è vicina di felicità
È un sogno o realtà la nostra affinità?
Sull'ali dell'amore rosé"
2018,9,226,15,Denmark,Rasmussen,Higher Ground,"Ships in the making
Bound for a distant shore
World for the taking
Men gone forever more
Boarding and setting sail
Yet victory won't prevail

Freeze the arrow in the air
Make your mark and leave it hanging there
Be the first to turn around
Take the leap to land on higher ground

Taka stökk til hærri jörð
Taka stökk til hærri jörð

Call in, surrender
Still, I won't feel like defeat
Men laying down their swords
Each of their own accord

Freeze the arrow in the air
Make your mark and leave it hanging there
Be the first to turn around
Take the leap to land on higher ground

Raise the banner to the sky
Face the fear and hold your head up high
Oooh-oooh, oooh-oooh
Take the leap like you were bound for higher ground

Taka stökk til hærri jörð
Taka stökk til hærri jörð

Freeze the arrow in the air
Make your mark and leave it hanging there

Freeze the arrow in the air
Make your mark and leave it hanging there
Be the first to turn around
Take the leap to land on higher ground
Be the first to turn around
Take the leap and land on higher ground
"
2018,10,209,19,Moldova,DoReDos,My Lucky Day,"You got secrets to unfold
You got stories never told
You're holding information
Standing right in front of me
A hidden rhapsody
I walk into temptation
Something tells me we can make some music
The rhythm is drivin' me wild
And something tells me we ain't gonna lose it
Keep pushin' way into the night
Number one, keep rollin'
Say you're real, I'm hopin'
Do you feel the way I do
Bring it on, it's magic
Are you real, fantastic
Say you feel the way I do
Number two, keep turnin'
Feel the heat, we're burnin'
I'll do anything for you
We can be forever
Number one, together
We can make a dream come true
Well, I guess it's up to you
Do you feel the way I do?
When body talk is magic
So is this my lucky day
Will you stay or walk away?
Right now you're stoppin' traffic
Something tells me we can make some music
The rhythm is drivin' me wild
And something tells me we ain't gonna lose it
Keep pushin' way into the night
Number one, keep rollin'
Say you're real, I'm hopin'
Do you feel the way I do
Bring it on, it's magic
Are you real, fantastic
Say you feel the way I do
Number two, keep turnin'
Feel the heat, we're burnin'
I'll do anything for you
We can be forever
Number one, together
We can make a dream come true"
2018,11,184,12,Albania,Eugent Bushpepa,Mall,"Nje pritje e gjate
E embel e zjarrte
Ca hapa trokasin si zemer kete nate
Une ndjek ritmin e saj
Dy duar qe zgjaten perpijne ne ngrohtesi
Ky mall qe te djeg nuk njeh kufi as largesi
Si me magji hena shikimet perpin
Me sjell vegimin tend
Lot i pathare ndricoje kete nate
Sonte kumbo prej shpirtit pa fjale
Vetem nje cast dhimbja te me ndale
Ky lot i pathare nje dite do shteroje
Nga puthjet e zjarrta qe enderroi
Ne ate cast dhimbja do ndaloje
Dua te hesht ne kete nate i shtrire ne kete shtrat
Ku endrrat hyjnore sherojne cdo plage
Te shoh portretin e saj
Momentet kalojne
Sekondat nuk falin
Oret pasojne por ndjenjen se ndalin, jo
Si me magji hena shikimet perpin
Syte tane puqen serish
Edhe pse eshte fantazi
Jeten do ta fal ty
Lot i pathare ndricoje kete nate
Sonte kumbo prej shpirtit pa fjale
Vetem nje cast dhimbja te me ndale
Ky lot i pathare nje dite do shteroje
Nga puthjet e zjarrta qe enderroi
Ne ate cast dhimbja do ndaloje
Do ndaloje"
2018,12,181,4,Lithuania,Ieva Zasimauskaitė,When We're Old,"I know I'll never forget
That day, the first time we met
We've come a long way since then
And I would do it all again
From your very first smile
I knew that I'd walk a mile
See, it's for real when you know
You never wanna let go
These are the reasons
I want you to know
You make this place feel like home
These are the reasons
I can't let you go, oh-oh
Let's sing this song that we wrote
When we're old, ah-ah
When we're old, ah-ah
No matter what comes our way
I feel like you're here to stay
You were the right from the start
And let me inside your heart
After all this time
I hate the sound of goodbye
And if you leave I would-
These are the reasons
I want you to know, oh-oh
You make this place feel like home
These are the reasons
I can't let you go, oh-oh
Let's sing this song that we wrote
When we're old, ah-ah
When we're old, ah-ah
Right from our very first kiss
I knew it'll end up like this
I'm not afraid to grow old
If I have your hand to hold"
2018,13,173,13,France,Madame Monsieur,Mercy,"Je suis née ce matin
Je m'appelle Mercy
Au milieu de la mer
Entre deux pays, Mercy
C'était un long chemin et Maman l'a pris
Elle m'avait dans la peau, huit mois et demi
Oh oui, huit mois et demi
On a quitté la maison, c'était la guerre
Sûr qu'elle avait raison, y'avait rien à perdre
Oh non, excepté la vie
Je suis née ce matin, je m'appelle Mercy
On m'a tendu la main et je suis en vie
Je suis tous ces enfants que la mer a pris
Je vivrai cent mille ans, je m'appelle Mercy
S'il est urgent de naître
Comprenez aussi
Qu'il est urgent de renaître
Quand tout est détruit
Mercy
Et là devant nos yeux y'avait l'ennemie
Une immensité bleue peut-être infinie
Mais oui, on en connaissait le prix
Surgissant d'une vague, un navire ami
A redonné sa chance à notre survie
C'est là, que j'ai poussé mon premier cri
Je suis née ce matin, je m'appelle Mercy
On m'a tendu la main et je suis en vie
Je suis tous ces enfants que la mer a pris
Je vivrai cent mille ans, je m'appelle Mercy
Derrière les sémaphores, serait-ce le bon port?
Que sera demain? Face à face ou main dans la main
Que sera demain?
Je suis née ce matin, je m'appelle Mercy
Mercy, Mercy, Mercy, Mercy
Mercy, Mercy, je vais bien merci
Mercy, Mercy, Mercy, Mercy
Mercy, Mercy, je vais bien merci
Mercy, Mercy, Mercy, Mercy
Mercy, Mercy, je vais bien merci
Mercy, Mercy, Mercy, Mercy
Mercy, Mercy, je vais bien merci"
2018,14,166,18,Bulgaria,EQUINOX,Bones,"Love is like a black hole
Everything is dark
You just gotta let go
And feel it, feel it, feel it
We fell off the deep end
Just to get a rush
You know that it's right when
You feel it, feel it, feel it
What is life if it's just of the earth
Only of the flesh and bones
Wanna thrive in the dust of the universe
And way into unknown
So I love beyond the bones
Goes deep inside your soul
I love beyond the bones
I love beyond the bones
I love beyond the bones
Wanna be the fire
Even if it burns
Offer up my fibers
To feel it, feel it, feel it
What is life if it's just of the earth
Only of the flesh and bones
Wanna thrive in the dust of the universe
And way into unknown
So I love beyond the bones
Goes deep inside your soul
I love beyond the bones
Goes deep inside your soul
I love beyond the bones
I love beyond the bones
I love beyond the bones
Into the unknown
Into the unknown
Where no other love goes
I love, I love beyond the bones"
2018,15,144,7,Norway,Alexander Rybak,That's How You Write A Song,"Uh yeah
If you got a minute
Get down your idea
It may do wonders
Maybe disappear
Who knows? Just get it down
And nothing can go wrong
Go find your rhythm
That's how you write a song (hello)
Enjoy the small things
With time they will get big
Gotta find your mission
A mission to pursue
You know you've got a talent
Whatever it may be
So work your magic
And sing along with me
Step one believe in it
And sing it all day long
Step two just roll with it
That's how you write a song
Come on
Sing, shoo-bee-doo-bee dab dab (shoo-bee-doo-bee dab dab)
Sha-ba-da-da hey (sha-ba-da-da hey)
Sing it all day long (all day long)
And that's how you write a song
Scoo-bee-doo-bee bap bap (scoo-bee-doo-bee bap bap)
Boogie boogie woogie hey (boogie boogie woogie hey)
Sing it all day long (all day long)
See, that's how you write a song
Step one believe in it
And sing it all day long
Step two just roll with it
That's how you write a song
Step one believe in it
And sing it all day long
Step two just roll with it
That's how you write a song
Step one believe in it
And sing it all day long
Step two just roll with it
That's how you write a song
Step one believe in it
And sing it all day long
Step two just roll with it
That's how you write a song
Step one believe in it
And sing it all day long
Step two just roll with it
And that's how you write a song
See, that's how you write a song
And that's how you write a song"
2018,16,136,24,Ireland,Ryan O'Shaughnessy,Together,"We were drifting like two icebergs out on the ocean
I was doing all I could to keep you close
There were troubles in the water
You swore it was nothing
You said that we would always stay afloat

Why would true love, look me in the eye and lie, lie?

I thought we’d be together ’til we die
I’ll forever wonder why
I thought we’d be together ’til we die
I’ll forever wonder why

Why have you been coming home so late in the evening?
Is there someone else that I should know about?
‘Cause there’s a smile on your face that I haven’t seen
Since we started going out

How could true love, look me in the eye and lie, lie?

I thought we’d be together ’til we die
I’ll forever wonder why
I thought we’d be together ’til we die
I’ll forever wonder why
I’ll forever wonder why

We said “Until death do us part”
And then you chose to break my heart
Remember right back to the start
When we said we’d be together ’til we die
I’ll forever wonder why
I thought we’d be together ’til we die
I’ll forever wonder why

You said we’d be together ’til we die
I’ll forever wonder why
I thought we’d be together ’til we die
I’ll forever wonder why
I’ll forever wonder why"
2018,17,130,1,Ukraine,MELOVIN,Under The Ladder,"Curtains down, I'm laughing at the trial
Help me to unravel
Tangle of my innocence inside
Faith's bout to be severed
Oh oh oh oh, won't get any better
Oh oh oh oh, walk under the ladder
Shout out just one reason what's this for
You can see that whatever the weather
That the wind's always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made, oh oh oh
(Oh oh oh, oh oh oh, oh, yeah)
(Oh oh oh, oh oh oh, oh, yeah)
Desperate thoughts, your hope calls you a liar
Fear begins to revel
Nothing but your will sets you on fire
Fire lasts forever
Oh oh oh oh, can't get any better
Oh oh oh oh, dance under the ladder
If you dare, so what you're waiting for
You can see that whatever the weather
That the wind's always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made, oh oh oh
(Oh oh oh, oh oh oh, oh, yeah)
(Oh oh oh, oh oh oh, oh, yeah)
You can see that whatever the weather
That the wind's always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made
You can see that whatever the weather
That the wind's always there, always fair, oh oh oh
And it has always been now or never
The decision has got to be made, oh oh oh
(Oh oh oh, oh oh oh, oh, yeah)
(Oh oh oh, oh oh oh, oh, yeah)"
2018,18,121,23,Netherlands,Waylon,Outlaw In 'Em,"It's a fine, fine line
Between whiskey, and water, and to wine
It's a long way home
When you're down and out and out here on your own
But it don't matter who you are when it's time to lock and load
Everybody's got a little outlaw in 'em
Chrome piece hidin' in their blacked out denim
Heartbeat beatin' to a rock 'n' roll rhythm, yeah
Everybody's got a couple scarred up knuckles
Blood on their boots and their back-off buckle
Diamondback rattle with the quick strike venom
Everybody's got a little outlaw in 'em (Hmm)
When they knock you to the ground
You ain't gonna let nobody keep you down
When you're backed against the wall
That's when you gotta learn to stand up tall
Yeah, that rebel fights inside of you
That's been there all along
Everybody's got a little outlaw in 'em
Chrome piece hidin' in their blacked out denim
Heartbeat beatin' to a rock 'n' roll rhythm, yeah
Everybody's got a couple scarred up knuckles
Blood on their boots and their back-off buckle
Diamondback rattle with the quick strike venom
Everybody's got a little outlaw in 'em
Oh
Ooh
Everybody's got a little outlaw in 'em
Chrome piece hidin' in their blacked out denim
Heartbeat beatin' to a rock 'n' roll rhythm, yeah
Huh, everybody got little frontman swagger
Stone cold rollin' like a young Mick Jagger
A new tattoo that you can't keep hidden
Everybody's got a little outlaw in 'em, yeah
Oh
Ooh
I said, everybody's got a little outlaw in 'em, aw"
2018,19,113,10,Serbia,Sanja Ilić & Balkanika,Nova Deca,"Svet je naš, ti samo i dalje sanjaj
Pogledaj, u sunce
Sreća je, dostižna, uzmi je
Počinje, još jedan dan, za nas
Svet je naš i vreme prestaje da žuri
Kad si sa mnom ti
Svet je naš i s’osmehom se budim
Zato što postojiš ti

Sve je jasnije
Sunce sija drugačije
Svet je naš i nova deca
S’nama stvaraju bolji svet

Svet je naš i vreme prestaje da žuri
Kad si sa mnom ti
Svet je naš i s’osmehom se budim
Zato što postojiš ti

Sve je jasnije
Sunce sija drugačije
Svet je naš i nova deca
S’nama stvaraju bolji svet

Sve je jasnije
Sunce sija drugačije
Svet je naš i nova deca
S’nama stvaraju bolji svet"
2018,20,99,16,Australia,Jessica Mauboy,We Got Love,"Why do we always feel like we need to try?
Why do we believe that we need to be somebody else
To feel alive?
Why do we make
Why do we keep making the same mistakes?
In believing that it won't make a difference if we try
To break away
I know, I know what you must be thinking
That we are powerless to change things
But don't, don't give up
'Cause we got love, 'cause we got love
I won't throw my hands up to surrender
'Cause love is stronger than fire
So don't, don't give up
'Cause we got love, 'cause we got love
Time
Don't you think it's just a waste of time?
When we're always fighting over material trivial things
In this life?
Yeah
I don't understand why we don't get it right
Why do we keep going round and round
At the end of the day, we've only got ourselves to blame, now
I know, I know what you must be thinking
That we are powerless to change things
But don't, don't give up
'Cause we got love, 'cause we got love, yeah
I won't throw my hands up to surrender
'Cause love is stronger than fire
So don't, don't give up
'Cause we got love, 'cause we got love
We got love
(We got love) We got love, we got love
(We got love) We got love
I know, I know what you must be thinking
That we are powerless to change things
But don't, don't give up
'Cause we got love, 'cause we got love
I won't throw my hands up to surrender
'Cause love is stronger than fire
So don't, don't give up
'Cause we got love, 'cause we got love, 'cause we got love
Ooh
We got love, hm-hm"
2018,21,93,21,Hungary,AWS,Viszlát Nyár,"Játsszunk nyílt lapokkal végre
A hajómnak mennie kell
És itt fog hagyni téged
Majd benned él tovább a vérem
És ha nem adod el, a szíveden a jel
Mi a földről az égig emel
Viszlát, nyár, most már elkéstél
Mert azt hazudtad, enyém leszel
De nem jöttél
Viszlát, álom, köszönöm, hogy eltűntél
Most már ideje visszakapnom
Amiket elvettél
Megfáradt ereimben az élet
Tudom, hogy fognál még
De engedj el már, kérlek
Itt van, tépd le belőlem a részed
És ha nem adod el, a szíveden a jel
Mi a földről az égig emel
Viszlát, nyár, most már elkéstél
Mert azt hazudtad, enyém leszel
De nem jöttél
Viszlát, álom, köszönöm, hogy eltűntél
Most már ideje visszakapnom
Amiket elvettél, elvettél
Viszlát, viszlát
Viszlát
Viszlát, nyár, most már elkéstél
Mert azt hazudtad, enyém leszel
De nem jöttél
Viszlát, nyár, most már elkéstél
(Mert azt hazudtad, enyém leszel)
De nem jöttél
Viszlát, álom, köszönöm, hogy eltűntél
Most már ideje visszakapnom
Amiket elvettél, elvettél
Viszlát
"
2018,22,64,3,Slovenia,Lea Sirk,"Hvala, ne!","Moje ime je Lea in za vas imam nov lik
Lik nasmeha in svobode kot najbolj virtualen trik
En korak do zmage
En korak do luči
Do popolnosti
Borim se z nasmehom do sonca, borim se za ljudi
Pot do resnice, me zaslepi
Ljubezen, tista prva, pride, da preslepi
Jaz pa si vzamem, kar telo osvobodi
Ne verjemi v vse, kar ponujeno ti je
Misli na glas in upaj
Da skrivnost je v tem, ne prodajaj se vsem
To je najbolj passé
Hvala, ne, ne
Hvala, ne
Hvala, ne, ne
Hvala, hvala, ne
Milijon ljudi je že reklo, da nas preveč živi
Tistih, ki so nesrečni in brez luči
En nasmeh za srečo
En nasmeh za ljudi
Za tiste, polne skrbi
Svoje duše ne dam nikomur, držim jo za se
Prava umetnost, brez-brez cene
Vsak odgovor je v meni, najdem ga, kadar zaspim
Ko telo je sproščeno, predano za vse
Ne verjemi v vse, kar ponujeno ti je
Misli na glas in upaj
Da skrivnost je v tem, ne prodajaj se vsem
To je najbolj passé
Ne verjemi v vse, kar ponujeno ti je
Misli na glas in upaj
Da skrivnost je v tem, ne prodajaj se vsem
To je najbolj passé
Hvala, ne, ne
Hvala, ne
Hvala, ne, ne
Hvala, hvala, ne
Kot lutka za ljudi
Ki se skrivajo za maskami
Enaki, popolni, a nezadovoljni
Hvala, ne, ne, ne
Ne verjemi v vse, kar ponujeno ti je
Misli na glas in upaj
Da skrivnost je v tem, ne prodajaj se vsem
To je najbolj passé
Hvala, ne, ne
Hvala, ne
Hvala, hvala, ne
Hvala, ne
Ne, ne, ne, ne"
2018,23,61,2,Spain,Amaia y Alfred,Tu Canción,"Nunca llegué a imaginar
Que viajar a la luna sería real
Lo pones todo al revés
Cuando besas mi frente y descubro por qué
Ya no puedo
Inventarlo
Siento que bailo por primera vez
Eres el arte que endulza la piel
De mi mente viajera que sigue tus pies
Siento que bailo por primera vez; junto a ti, oh-oh
Sé que en ti puedo encontrar
Esa voz que me abriga si el tiempo va mal
Todo es perfecto si estás
A mi lado creando una nueva ciudad
Siento que bailo por primera vez
Eres el arte que endulza la piel
De mi mente viajera que sigue tus pies
Siento que bailo por primera vez
Ya no puedo
Inventarlo
Solo quiero
Tu canción
Oh, oh, oh, oh
Oh, oh, oh, uoh-oh
Siento que bailo por primera vez
Eres el arte que endulza la piel
De mi mente viajera que sigue tus pies
Siento que bailo por primera vez; junto a ti, oh, oh
Mmh, mmh, mmh
"
2018,24,48,9,United Kingdom,SuRie,Storm,"Hey, hey, brother
Do you remember when we were kids with no fear?
Hey, hey, sister
Do you believe in the things we dreamt we'd discover?
I still have faith
I still believe in chasing rainbows
Storms don't last forever, forever, remember
We can hold our hands together
Through this sto-o-orm, through this sto-o-orm
Storms don't last forever, forever, remember
We can hold our hands together
Through this sto-o-orm, through this sto-o-orm
Hey, hey, mother
Am I making you proud, or could I do better?
Hey, hey, father
There's weight on my shoulders, but it's not over
I still have faith
I still believe in chasing rainbows
Storms don't last forever, forever, remember
We can hold our hands together
Through this sto-o-orm, through this sto-o-orm
Storms don't last forever, forever, remember
We can hold our hands together
Through this sto-o-orm, through this sto-o-orm
Spread your love, give all you got
Hold your head up, don't give up, no, no
Hey, hey, brother, don't give up, ooh-whoa-whoa-whoa, oh-oh
Storms don't last forever, forever, remember (oh, remember)
We can hold our hands together
Through this sto-o-orm, through this sto-o-orm
Spread your love, give all you got (hey)
Hold your head up, don't give up, no, no
Spread your love, give all you got
Hold your head up through this sto-o-orm"
2018,25,46,17,Finland,Saara Aalto,Monsters,"Closed my eyes, so I couldn't see it
Felt so numb, but now I'm ready to feel it
So tonight I'm making friends
With all the creatures that are hiding there under my bed
I ain't gonna hold on to these monsters anymore
Now I'm gonna let in all the light, tear down the walls
At my worst I found my army strong
All the demons are gone
You can try and scare me now, but I ain't scared no more
(I ain't scared no more)
(I ain't, I ain't, I ain't scared no more)
It's my life, I'm ready to lead it
I'm gonna roll the dice, you better believe it
So tonight I'm making friends
With all the creatures that are hiding there under my bed
I ain't gonna hold on to these monsters anymore
Now I'm gonna let in all the light, tear down the walls
At my worst I found my army strong
All the demons are gone
You can try and scare me now, but I ain't scared no more
(I ain't, I ain't, I ain't scared no more)
No, no, I ain't scared, I ain't scared
I ain't gonna hold on to these monsters anymore
Now I'm gonna let in all the light, tear down the walls
At my worst I found my army strong
All the demons are gone
You can try and scare me now, but I ain't scared no more
(I ain't, I ain't, I ain't scared no more) I ain't scared no more
(I ain't, I ain't, I ain't scared no more)
(I ain't, I ain't, I ain't scared) no more"
2018,26,39,8,Portugal,Cláudia Pascoal,O Jardim,"Eu nunca te quis
Menos do que tudo
Sempre, meu amor
Se no céu também és feliz
Leva-me, eu cuido
Sempre, ao teu redor
São as flores o meu lugar
Agora que não estás
Rego eu o teu jardim
São as flores o meu lugar
Agora que não estás
Rego eu o teu jardim
Eu já prometi
Que um dia mudo
Ou tento, ser maior
Se do céu também és feliz
Leva-me, eu juro
Sempre, pelo teu valor
São as flores o meu lugar
Agora que não estás
Rego eu o teu jardim
São as flores o meu lugar
Agora que não estás
Rego eu o teu jardim
Agora que não estás, rego eu o teu jardim
Agora que não estás, rego eu o teu jardim
Agora que não estás
Agora que não estás, rego eu o teu jardim
"
2017,1,758,11,Portugal,Salvador Sobral,Amar Pelos Dois,"Se um dia alguém perguntar por mim
Diz que vivi p'ra te amar
Antes de ti, só existi
Cansado e sem nada pra dar
Meu bem, ouve as minhas preces
Peço que regresses, que me voltes a querer
Eu sei que não se ama sozinho
Talvez, devagarinho, possas voltar a aprender
Meu bem, ouve as minhas preces
Peço que regresses, que me voltes a querer
Eu sei que não se ama sozinho
Talvez, devagarinho, possas voltar a aprender
Se o teu coração não quiser ceder
Não sentir paixão, não quiser sofrer
Sem fazer planos do que virá depois
O meu coração pode amar pelos dois"
2017,2,615,25,Bulgaria,Kristian Kostov,Beautiful Mess,"When the world shakes us
Trying to take us out of line
Fear of tomorrow
Feelings we borrow for a time
Water so deep, how do we breathe?
How do we climb?
So we stay in this mess
This beautiful mess tonight
And we don't have a thing to lose
No matter what they say or do
I don't want nothing more
Our love is untouchable
Even in the line of fire
When everything is on the wire
Even up against the wall
Our love is untouchable
Our love is untouchable
When the colors turn gray
And the lights all fade to black again
We're in over our heads
But somehow we make it back again
Water so deep, how do we breathe?
How do we climb?
So we stay in this mess
This beautiful mess tonight
And we don't have a thing to lose
No matter what they say or do
I don't want nothing more
Our love is untouchable
Even in the line of fire
When everything is on the wire
Even up against the wall
Our love is untouchable
Even in the line of fire
When everything is on the wire
Even up against the wall
Our love is untouchable"
2017,3,374,7,Moldova,Sunstroke Project,Hey Mamma,"Hey, hey you
You will never hide what you think of me
I see your clue
No, you worry about it, don’t need to be

Hey, hey you
It’s a girl and maybe should sleep at home
But I steal her alone

And I say
Mamma, mamma, don’t be so down
I’m not that unfounded boy
Mamma, mamma, don’t be so down
All it keeps going round and round

Mamma, mamma, don’t be so mad
If you knew me you’d be surprised
Mamma, mamma, don’t be so mad
She’ll be back home till sunrise

Like the sun in the sea
She will disappear tonight with me
And now and not anymore
Do what other cats did before

Hey, hey you (hey, you)
It’s a girl and maybe should sleep at home
But I steal her alone

And I say
Mamma, mamma, don’t be so down
I’m not that unfounded boy
Mamma, mamma, don’t be so down
All it keeps going round and round

Mamma, mamma, don’t be so mad
If you knew me you’d be surprised
Mamma, mamma, don’t be so mad
She’ll be back home till sunrise

(Mamma, mamma, ma)
(Mamma, mamma, ma) oh, mamma, mamma, ma
(Mamma, mamma, ma)
(Mamma, mamma, mamma)

(Mamma, mamma, ma)
(Mamma, mamma, ma) oh, mamma, mamma, ma
(Mamma, mamma, ma)
(Mamma, mamma)

And I say
Mamma, mamma, don’t be so down
I’m not that unfounded boy
Mamma, mamma, don’t be so down
All it keeps going round and round

Mamma, mamma, don’t be so mad
If you knew me you’d be surprised
Mamma, mamma, don’t be so mad
She’ll be back home till sunrise

Hey mamma, hey mamma, hey mamma ma
Hey mamma, hey mamma, hey mamma ma
Hey mamma, hey mamma, hey mamma ma
Hey mamma, hey mamma (hey, ba, ba, ba)

Hey mamma, hey mamma, hey mamma ma
Hey mamma, hey mamma, hey mamma ma
Hey mamma ma


Add to favorites

Add to Playlist

Font size
Tab
Print
Correct

Auto-scroll
"
2017,4,363,23,Belgium,Blanche,City Lights,"All alone in the danger zone
Are you ready to take my hand?
All alone in the flame of doubt
Are we going to lose it all?
I could never leave you in the city lights
I could never beat the storm in your eyes
The storm in your bright eyes
All alone in the danger zone
Are you ready to take my hand?
All alone in the flame of doubt
Are we going to lose it all?
Looking in between the space in the city lights
All we are is here in the stars in your eyes
The stars in your dark eyes
All alone in the danger zone
Are you ready to take my hand?
All alone in the flame of doubt
Are we going to lose it all?
Let's put some light in to our lives
But keep the storm that's in your eyes
Let's put some light in to our lives
All alone in the danger zone
Are you ready to take my hand?
All alone in the flame of doubt
Are we going to lose it all?
All alone in the danger zone
Are you ready to take my hand?
All alone in the flame of doubt
Are we going to lose it all?
To lose it all?
To lose it all?"
2017,5,344,24,Sweden,Robin Bengtsson,I Can't Go On,"I can't go on, I can't go on
Gotta keep it together
Don't get me wrong, don't get me wrong
'Cause baby, you make me better, hey
With just one look you make me shiver
I just wanna take you home
Wanna go, yeah I wanna go
Now girl, you make me a believer
I wanna take off all my clothes
Wanna go, you make me wanna go
I just can't go on no more
When you look this freaking beautiful
Oh, hands down to the floor, my love
And I'm doing whatever you want
I can't go on, I can't go on
When you look this freaking beautiful
I can't go on, I can't go on
When you look this freaking beautiful
You've got me good, you've got me good
And I'm not going nowhere
Right in your hook, that's understood
But I'mma take you somewhere
I just can't go on no more
When you look this freaking beautiful
Oh, hands down to the floor, my love
And I'm doing whatever you want
I can't go on, I can't go on
When you look this freaking beautiful
I can't go on, I can't go on
When you look this freaking beautiful
So freaking beautiful
Baby, I just can't go on
I can't go on, I can't go on
I can't go on, I can't go on
When you look this freaking beautiful
I can't go on, I can't go on
I can't go on, I can't go on
When you look this freaking beautiful
So freaking beautiful
Baby, I just can't go on"
