Year,Place,Points,No.,Country,Performer,Song,Lyrics,Cleaned Lyrics,Language,Topic
2022,22,38,1,Czechia,We Are Domi,Lights Off,"I lost my soul, forgot my way
There's no mistakes that I've not made
Changes hurt and I'm alone
But people say, ""My, how you've grown""
Try changing jobs, try changing lovers
Changing my furniture, change my bed covers
I've changed my heart, but there's not a chance
So turn the lights off
Where are you now when I miss you?
You're sailin' around in my peripheral
Where are you now?
Where are you now?
Where are you now?
Where are you now?
I'll ring the changes, make a plan
I'm small, but mighty as I can
I'll build a fortress, I'll be the wall
I'll be a queen, invincible
Try changing jobs, try changing lovers
Changing my furniture, change my bed covers
I've changed my heart, but there's no chance
So turn the lights off
Where are you now when I miss you?
You're sailin' around in my peripheral
Where are you now?
Where are you now?
Where are you now?
Where are you now?
Once again I'm left without control
I'm far away, but can you hear me call?
Where are you now?
Where are you now when I miss you?
You're sailin' around in my peripheral
Where are you now?
Where are you now?
Where are you now?
Where are you now?","i lost my soul, forgot my way
there's no mistakes that i've not made
changes hurt and i'm alone
but people say, ""my, how you've grown""
try changing jobs, try changing lovers
changing my furniture, change my bed covers
i've changed my heart, but there's not a chance
so turn the lights off
where are you now when i miss you?
you're sailin' around in my peripheral
where are you now?
where are you now?
where are you now?
where are you now?
i'll ring the changes, make a plan
i'm small, but mighty as i can
i'll build a fortress, i'll be the wall
i'll be a queen, invincible
try changing jobs, try changing lovers
changing my furniture, change my bed covers
i've changed my heart, but there's no chance
so turn the lights off
where are you now when i miss you?
you're sailin' around in my peripheral
where are you now?
where are you now?
where are you now?
where are you now?
once again i'm left without control
i'm far away, but can you hear me call?
where are you now?
where are you now when i miss you?
you're sailin' around in my peripheral
where are you now?
where are you now?
where are you now?
where are you now?",en,0
2022,23,20,18,Iceland,Systur,Með Hækkandi Sól,"Öldurót í hljóðri sál
Þrautin þung umvafin sorgarsárum
Þrá sem laðar, brennur sem bál
Liggur í leyni – leyndarmál – þei þei
Í ljósaskiptum fær að sjá
Fegurð í frelsi sem þokast nær
Þó næturhúmið skelli á
Og ósögð orð, hugan þjá – þei þei
Í dimmum vetri – hækkar sól
Bræðir hjartans klakabönd – svo hlý
Í dimmum vetri – vorið væna
Vermir þitt vænghaf á ný
Skammdegisskuggar sækja að
Bærast létt með hverjum andardrættir
Syngur í brjósti lítið lag
Breiðir úr sér og andvarpar – þei þei
Í dimmum vetri – hækkar sól
Bræðir hjartans klakabönd – svo hlý
Í dimmum vetri – vorið væna
Vermir þitt vænghaf á ný
Og hún tekst á flug
Svífur að hæstu hæðum
Og færist nær því
Að finna innri ró
Í dimmum vetri – hækkar sól
Bræðir hjartans klakabönd – svo hlý
Í dimmum vetri – vorið væna
Vermir þitt vænghaf á ný","öldurót í hljóðri sál
þrautin þung umvafin sorgarsárum
þrá sem laðar, brennur sem bál
liggur í leyni – leyndarmál – þei þei
í ljósaskiptum fær að sjá
fegurð í frelsi sem þokast nær
þó næturhúmið skelli á
og ósögð orð, hugan þjá – þei þei
í dimmum vetri – hækkar sól
bræðir hjartans klakabönd – svo hlý
í dimmum vetri – vorið væna
vermir þitt vænghaf á ný
skammdegisskuggar sækja að
bærast létt með hverjum andardrættir
syngur í brjósti lítið lag
breiðir úr sér og andvarpar – þei þei
í dimmum vetri – hækkar sól
bræðir hjartans klakabönd – svo hlý
í dimmum vetri – vorið væna
vermir þitt vænghaf á ný
og hún tekst á flug
svífur að hæstu hæðum
og færist nær því
að finna innri ró
í dimmum vetri – hækkar sól
bræðir hjartans klakabönd – svo hlý
í dimmum vetri – vorið væna
vermir þitt vænghaf á ný","no, da",1
2022,24,17,6,France,Alvan & Ahez,Fulenn,"Tan de'i
E teñvalijenn ar c'hoadeier e tiwan an noz
Ar stered a deu war-wel en hiboud direpoz
Ur skeud benel a droidell ouzh skleurenn ur flamboz
Oc'h ober fae deus ar fall loened e tansan
Me bak an tan en o lagad leun a droukc'hoant
Ha dreiñ 'n'añ en ur c'han da gan' a-unvan
Dañsal a ran gant an diaoul ha para?
Dañsal a ran gant an diaoul ha para?
Entan ha taras, entan jabadao ha taras
Trid' a ra ar c'hoad ouzh stok' ar fulenn a-bilpaz
He hud dudius a bign betek penn ar gwez bras
Oc'h ober fae deus ar fall loened e tañsan
Me bak an tan en o lagad leun a droukc'hoant
Ha dreiñ 'n'añ en ur c'han da gan' a-unvan
Dispont 'kreiz an digoadenn e tans ar fulenn
Treiñ ha distreiñ en-dro de'i eneoù dichadenn
Dispont 'kreiz an digoadenn e tans ar fulenn
Treiñ ha distreiñ en-dro de'i eneoù dichadenn
Lalalalalalaleno lalelalalo
Lalalalalalaleno lalelalalo
Lalalalalalaleno lalelalalo
Lalalalalalaleno lalelalalo
Dañsal a ran gant an diaoul ha para?
Ga''n diaoul e tansan
Dañsal a ran gant an diaoul ha para?
Lalalalalalaleno lalelalalo
Lalalalalalaleno lalelalalo
Lalalalalalaleno lalelalalo
Lalalalalalaleno lalelalalo","tan de'i
e teñvalijenn ar c'hoadeier e tiwan an noz
ar stered a deu war-wel en hiboud direpoz
ur skeud benel a droidell ouzh skleurenn ur flamboz
oc'h ober fae deus ar fall loened e tansan
me bak an tan en o lagad leun a droukc'hoant
ha dreiñ 'n'añ en ur c'han da gan' a-unvan
dañsal a ran gant an diaoul ha para?
dañsal a ran gant an diaoul ha para?
entan ha taras, entan jabadao ha taras
trid' a ra ar c'hoad ouzh stok' ar fulenn a-bilpaz
he hud dudius a bign betek penn ar gwez bras
oc'h ober fae deus ar fall loened e tañsan
me bak an tan en o lagad leun a droukc'hoant
ha dreiñ 'n'añ en ur c'han da gan' a-unvan
dispont 'kreiz an digoadenn e tans ar fulenn
treiñ ha distreiñ en-dro de'i eneoù dichadenn
dispont 'kreiz an digoadenn e tans ar fulenn
treiñ ha distreiñ en-dro de'i eneoù dichadenn
lalalalalalaleno lalelalalo
lalalalalalaleno lalelalalo
lalalalalalaleno lalelalalo
lalalalalalaleno lalelalalo
dañsal a ran gant an diaoul ha para?
ga''n diaoul e tansan
dañsal a ran gant an diaoul ha para?
lalalalalalaleno lalelalalo
lalalalalalaleno lalelalalo
lalalalalalaleno lalelalalo
lalalalalalaleno lalelalalo","id, es, ca",1
2022,25,6,13,Germany,Malik Harris,Rockstars,"Look where we are
We used to be the rockstars
Who never thought of no harm
'Til this thing we call life stopped gleaming
I wish there was a way to go back dreaming
Remembering gets so hard
When time is moving so fast
Wish there was a way to know that we're in
The good old days before we all just leave 'em
I tried getting rid of the pain
I tried to make it go away, but it probably won't change
Always thinking 'bout my own worries
Remember back when we had no worries?
Now life just ain't hitting the same
I sit and miss and reminisce about innocent old days
When I was afraid of nobody
Now I'm afraid of being a nobody
Don't wanna leave my bed
I'll just stay and never get it together
'Cause the voices in my head
They keep saying it'll never get better
Look where we are
We used to be the rockstars
Who never thought of no harm
'Til this thing we call life stopped gleaming
I wish there was a way to go back dreaming
Remembering gets so hard
When time is moving so fast
Wish there was a way to know that we're in
The good old days before we all just leave 'em
Sometimes I got this kinda sting that's right inside my chest
Its only purpose is convincing me that I'm a mess
And even though it's always been an uninvited guest
It finds a way in nonetheless
Wish I could change my address
And you know
Just be somebody else for a couple of days
Although I'm pretty sure we all feel the same kinda way
'Cause if you think about it
Aren't we all set in a place
Where we look back at better days
And wish they weren't so far away?
I wish that I could just go back and be the way I was
I wish I'd still not give a damn 'bout how I come across
I wish the way I saw myself had never gotten lost
In all the worries, all the thoughts, overthinking all the parts
So exhausted, always caught up inside my doubts and flaws
And I'ma count them all
Somebody catch me, I'm 'bout to fall
Yeah, I'm 'bout to fall
Can we press pause?
Or do a restart
And be who we are?
We used to be the rockstars
Who never thought of no harm
'Til this thing we call life stopped gleaming
I wish there was a way to go back dreaming
Remembering gets so hard
When time is moving so fast
Wish there was a way to know that we're in
The good old days before we all just leave 'em
Didn't we?
(We used to be the rockstars)
Didn't we?
(We used to be the rockstars)
(We used to be the rockstars)
Remembering gets so hard
When time is moving so fast
Wish there was a way to know that we're in
The good old days before we all just leave 'em","look where we are
we used to be the rockstars
who never thought of no harm
'til this thing we call life stopped gleaming
i wish there was a way to go back dreaming
remembering gets so hard
when time is moving so fast
wish there was a way to know that we're in
the good old days before we all just leave 'em
i tried getting rid of the pain
i tried to make it go away, but it probably won't change
always thinking 'bout my own worries
remember back when we had no worries?
now life just ain't hitting the same
i sit and miss and reminisce about innocent old days
when i was afraid of nobody
now i'm afraid of being a nobody
don't wanna leave my bed
i'll just stay and never get it together
'cause the voices in my head
they keep saying it'll never get better
look where we are
we used to be the rockstars
who never thought of no harm
'til this thing we call life stopped gleaming
i wish there was a way to go back dreaming
remembering gets so hard
when time is moving so fast
wish there was a way to know that we're in
the good old days before we all just leave 'em
sometimes i got this kinda sting that's right inside my chest
its only purpose is convincing me that i'm a mess
and even though it's always been an uninvited guest
it finds a way in nonetheless
wish i could change my address
and you know
just be somebody else for a couple of days
although i'm pretty sure we all feel the same kinda way
'cause if you think about it
aren't we all set in a place
where we look back at better days
and wish they weren't so far away?
i wish that i could just go back and be the way i was
i wish i'd still not give a damn 'bout how i come across
i wish the way i saw myself had never gotten lost
in all the worries, all the thoughts, overthinking all the parts
so exhausted, always caught up inside my doubts and flaws
and i'ma count them all
somebody catch me, i'm 'bout to fall
yeah, i'm 'bout to fall
can we press pause?
or do a restart
and be who we are?
we used to be the rockstars
who never thought of no harm
'til this thing we call life stopped gleaming
i wish there was a way to go back dreaming
remembering gets so hard
when time is moving so fast
wish there was a way to know that we're in
the good old days before we all just leave 'em
didn't we?
(we used to be the rockstars)
didn't we?
(we used to be the rockstars)
(we used to be the rockstars)
remembering gets so hard
when time is moving so fast
wish there was a way to know that we're in
the good old days before we all just leave 'em",en,0
2021,1,524,24,Italy,Måneskin,Zitti E Buoni,"Loro non sanno di che parlo
Vestiti sporchi, fra', di fango
Giallo di siga fra le dita
Io con la siga camminando
Scusami ma ci credo tanto
Che posso fare questo salto
E anche se la strada è in salita
Per questo ora mi sto allenando
E buonasera signore e signori
Fuori gli attori
Vi conviene toccarvi i coglioni
Vi conviene stare zitti e buoni
Qui la gente è strana, tipo spacciatori
Troppe notti stavo chiuso fuori
Mo li prendo a calci 'sti portoni
Sguardo in alto tipo scalatori
Quindi scusa mamma se sto sempre fuori ma
Sono fuori di testa, ma diverso da loro
E tu sei fuori di testa, ma diversa da loro
Siamo fuori di testa, ma diversi da loro
Siamo fuori di testa, ma diversi da loro, no
Io ho scritto pagine e pagine, ho visto sale poi lacrime
Questi uomini in macchina e non scalare le rapide
Ho scritto sopra una lapide, in casa mia non c'è Dio
Ma se trovi il senso del tempo, risalirai dal tuo oblio
E non c'è vento che fermi la naturale potenza
Dal punto giusto di vista, del vento senti l'ebrezza
Con ali in cera alla schiena ricercherò quell'altezza
Se vuoi fermarmi ritenta, prova a tagliarmi la testa perché
Sono fuori di testa, ma diverso da loro
E tu sei fuori di testa, ma diversa da loro
Siamo fuori di testa, ma diversi da loro
Siamo fuori di testa, ma diversi da loro, oh
Mmm, parla, la gente purtroppo parla
Non sa di che cosa parla
Tu portami dove sto a galla
Che qui mi manca l'aria
Parla, la gente purtroppo parla
Non sa di che cosa parla
Tu portami dove sto a galla
Che qui mi manca l'aria
Parla, la gente purtroppo parla
Non sa di che cazzo parla
Tu portami dove sto a galla
Che qui mi manca l'aria
Ma sono fuori di testa, ma diverso da loro
E tu sei fuori di testa, ma diversa da loro
Siamo fuori di testa, ma diversi da loro
E siamo fuori di testa, ma diversi da loro, ah
Noi siamo diversi da loro","loro non sanno di che parlo
vestiti sporchi, fra', di fango
giallo di siga fra le dita
io con la siga camminando
scusami ma ci credo tanto
che posso fare questo salto
e anche se la strada è in salita
per questo ora mi sto allenando
e buonasera signore e signori
fuori gli attori
vi conviene toccarvi i coglioni
vi conviene stare zitti e buoni
qui la gente è strana, tipo spacciatori
troppe notti stavo chiuso fuori
mo li prendo a calci 'sti portoni
sguardo in alto tipo scalatori
quindi scusa mamma se sto sempre fuori ma
sono fuori di testa, ma diverso da loro
e tu sei fuori di testa, ma diversa da loro
siamo fuori di testa, ma diversi da loro
siamo fuori di testa, ma diversi da loro, no
io ho scritto pagine e pagine, ho visto sale poi lacrime
questi uomini in macchina e non scalare le rapide
ho scritto sopra una lapide, in casa mia non c'è dio
ma se trovi il senso del tempo, risalirai dal tuo oblio
e non c'è vento che fermi la naturale potenza
dal punto giusto di vista, del vento senti l'ebrezza
con ali in cera alla schiena ricercherò quell'altezza
se vuoi fermarmi ritenta, prova a tagliarmi la testa perché
sono fuori di testa, ma diverso da loro
e tu sei fuori di testa, ma diversa da loro
siamo fuori di testa, ma diversi da loro
siamo fuori di testa, ma diversi da loro, oh
mmm, parla, la gente purtroppo parla
non sa di che cosa parla
tu portami dove sto a galla
che qui mi manca l'aria
parla, la gente purtroppo parla
non sa di che cosa parla
tu portami dove sto a galla
che qui mi manca l'aria
parla, la gente purtroppo parla
non sa di che cazzo parla
tu portami dove sto a galla
che qui mi manca l'aria
ma sono fuori di testa, ma diverso da loro
e tu sei fuori di testa, ma diversa da loro
siamo fuori di testa, ma diversi da loro
e siamo fuori di testa, ma diversi da loro, ah
noi siamo diversi da loro",it,3
2021,2,499,20,France,Barbara Pravi,Voilà,"Écoutez-moi
Moi, la chanteuse à demi
Parlez de moi
À vos amours, à vos amis
Parlez-leur de cette fille aux yeux noirs et de son rêve fou
Moi c'que j'veux, c'est écrire des histoires qui arrivent jusqu'à vous
C'est tout
Voilà, voilà, voilà, voilà qui je suis
Me voilà, même si mise à nu, j'ai peur, oui
Me voilà dans le bruit et dans le silence
Regardez-moi, ou du moins ce qu'il en reste
Regardez-moi, avant que je me déteste
Quoi vous dire, que les lèvres d'une autre ne vous diront pas
C'est peu de chose, mais moi tout ce que j'ai je le dépose là, voilà
Voilà, voilà, voilà, voilà qui je suis
Me voilà, même si mise à nu, c'est fini
C'est ma gueule, c'est mon cri, me voilà tant pis
Voilà, voilà, voilà, voilà juste ici
Moi, mon rêve, mon envie, comme j'en crève, comme j'en ris
Me voilà dans le bruit et dans le silence
Ne partez pas, j'vous en supplie, restez longtemps
Ça m'sauvera peut-être pas, non
Mais faire sans vous j'sais pas comment
Aimez-moi comme on aime un ami qui s'en va pour toujours
J'veux qu'on m'aime parce que moi, je sais pas bien aimer mes contours
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nu, c'est fini
Me voilà dans le bruit et dans la fureur aussi
Regardez-moi enfin et mes yeux et mes mains
Tout c'que j'ai est ici, c'est ma gueule, c'est mon cri
Me voilà, me voilà, me voilà
Voilà, voilà, voilà, voilà
Voilà","écoutez-moi
moi, la chanteuse à demi
parlez de moi
à vos amours, à vos amis
parlez-leur de cette fille aux yeux noirs et de son rêve fou
moi c'que j'veux, c'est écrire des histoires qui arrivent jusqu'à vous
c'est tout
voilà, voilà, voilà, voilà qui je suis
me voilà, même si mise à nu, j'ai peur, oui
me voilà dans le bruit et dans le silence
regardez-moi, ou du moins ce qu'il en reste
regardez-moi, avant que je me déteste
quoi vous dire, que les lèvres d'une autre ne vous diront pas
c'est peu de chose, mais moi tout ce que j'ai je le dépose là, voilà
voilà, voilà, voilà, voilà qui je suis
me voilà, même si mise à nu, c'est fini
c'est ma gueule, c'est mon cri, me voilà tant pis
voilà, voilà, voilà, voilà juste ici
moi, mon rêve, mon envie, comme j'en crève, comme j'en ris
me voilà dans le bruit et dans le silence
ne partez pas, j'vous en supplie, restez longtemps
ça m'sauvera peut-être pas, non
mais faire sans vous j'sais pas comment
aimez-moi comme on aime un ami qui s'en va pour toujours
j'veux qu'on m'aime parce que moi, je sais pas bien aimer mes contours
voilà, voilà, voilà, voilà qui je suis
me voilà même si mise à nu, c'est fini
me voilà dans le bruit et dans la fureur aussi
regardez-moi enfin et mes yeux et mes mains
tout c'que j'ai est ici, c'est ma gueule, c'est mon cri
me voilà, me voilà, me voilà
voilà, voilà, voilà, voilà
voilà",fr,4
2021,3,432,11,Switzerland,Gjon's Tears,Tout l'Univers,"Laissez le vent qui frôle
Sa main sur mon épaule
Le vide dans ma tête
Pas la moindre cachette
C'est l'aube qui décline
Derrière un champ de ruines
Le moment de grandir
Ne pas te retenir
Je vois derrière nous des morceaux de toi
Et ce que la douleur a fait de moi
Tout l'univers
Nos deux cœurs sous la terre
Au milieu des failles, tout éclate
Se trouver un point d'impact
Sans toi
Que deviendront souffles
S'ils restent sur le bord?
Cet amour qui nous tord
Je vois derrière nous des morceaux de toi
Et ce que la douleur a fait de moi
Tout l'univers
Nos deux cœurs sous la terre
Au milieu des failles tout éclate
Se trouver un point d'impact
Sans toi
Derrière mes paupières
Trouver de l'air
tout l'univers
Nos deux cœurs sous la terre
Au milieu des failles, des ressacs
Nous nous retrouvons au point d'impact
Comment soigner nos cœurs qui éclatent?
Tout l'univers","laissez le vent qui frôle
sa main sur mon épaule
le vide dans ma tête
pas la moindre cachette
c'est l'aube qui décline
derrière un champ de ruines
le moment de grandir
ne pas te retenir
je vois derrière nous des morceaux de toi
et ce que la douleur a fait de moi
tout l'univers
nos deux cœurs sous la terre
au milieu des failles, tout éclate
se trouver un point d'impact
sans toi
que deviendront souffles
s'ils restent sur le bord?
cet amour qui nous tord
je vois derrière nous des morceaux de toi
et ce que la douleur a fait de moi
tout l'univers
nos deux cœurs sous la terre
au milieu des failles tout éclate
se trouver un point d'impact
sans toi
derrière mes paupières
trouver de l'air
tout l'univers
nos deux cœurs sous la terre
au milieu des failles, des ressacs
nous nous retrouvons au point d'impact
comment soigner nos cœurs qui éclatent?
tout l'univers",fr,4
2021,4,378,12,Iceland,Daði og Gagnamagnið,10 Years,"We've been together for a decade now
Still everyday I'm lovin' you more
If I could do it all again
I'd probably do it all the same as before
I don't wanna know what would've happened if I never had had your love
I didn't become myself before I met you
I don't wanna know what would've happened if I never had felt your love
Everything about you I like

We started out so fast
Now we can take it slower
Love takes some timе
Takes a little time, so takе a little time
As it ages like wine

How does it keep getting better?
Everyday our love finds a new way to grow
The time we spend together
Hmm, simply feels good
We got a good thing going

And just when I thought that my heart was full
I found places that I never explored
You're so fascinating
And I can't remember the last time I was bored

I don't wanna know what would've happened if I never had had your love
I didn't become myself before I met you
I don't wanna know what would've happened if I never had felt your love
Everything about you I like

How does it keep getting better?
Everyday our love finds a new way to grow (Finds a new way to grow)
The time we spend together
Hmm, feels good

How does it keep getting better?
Every day our love finds a new way to grow
The time we spend together
Hmm, simply feels good
We got a good thing going","we've been together for a decade now
still everyday i'm lovin' you more
if i could do it all again
i'd probably do it all the same as before
i don't wanna know what would've happened if i never had had your love
i didn't become myself before i met you
i don't wanna know what would've happened if i never had felt your love
everything about you i like

we started out so fast
now we can take it slower
love takes some timе
takes a little time, so takе a little time
as it ages like wine

how does it keep getting better?
everyday our love finds a new way to grow
the time we spend together
hmm, simply feels good
we got a good thing going

and just when i thought that my heart was full
i found places that i never explored
you're so fascinating
and i can't remember the last time i was bored

i don't wanna know what would've happened if i never had had your love
i didn't become myself before i met you
i don't wanna know what would've happened if i never had felt your love
everything about you i like

how does it keep getting better?
everyday our love finds a new way to grow (finds a new way to grow)
the time we spend together
hmm, feels good

how does it keep getting better?
every day our love finds a new way to grow
the time we spend together
hmm, simply feels good
we got a good thing going",en,0
2021,5,364,19,Ukraine,Go_A,Shum,"А в нашого Шума зеленая шуба
Дівки гуляли, шубу порвали
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Гей нумо-нумо заплетемо Шума
Шума заплетемо, гуляти підемо
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Сію-сію-сію-сію
Сію-сію-сію-сію
Сію-сію-сію-сію
Сію-сію-сію-сію
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
А в нашого Шума
А в нашого Шума
А в нашого Шума
Зеленая шуба
А в нашого Шума-ма-ма-ма-ма
Гей заплетися, Шуме, заплетися
Зеленим барвінком та й застелися
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Сію-вію, сію-вію зеленесеньки
А в нашого Шума зеленая шуба
Дівки гуляли шубу порвали
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Гей розплетемо, Шума розплетемо
Шума розплетемо, гуляти підемо
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Гей нумо-нумо розплетемо Шума
Шума розплетемо, гуляти підемо
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Сію-вію сію-вію
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Сію-вію, сію-вію зеленесеньки
А в нашого Шума зеленая шуба
Дівки гуляли шубу порвали
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Гей розплетемо, Шума розплетемо
Шума розплетемо, гуляти підемо
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки
Сію-вію, сію-вію конопелечки
Сію-вію, сію-вію зеленесеньки","а в нашого шума зеленая шуба
дівки гуляли, шубу порвали
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
гей нумо-нумо заплетемо шума
шума заплетемо, гуляти підемо
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
сію-сію-сію-сію
сію-сію-сію-сію
сію-сію-сію-сію
сію-сію-сію-сію
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
а в нашого шума
а в нашого шума
а в нашого шума
зеленая шуба
а в нашого шума-ма-ма-ма-ма
гей заплетися, шуме, заплетися
зеленим барвінком та й застелися
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
сію-вію, сію-вію зеленесеньки
а в нашого шума зеленая шуба
дівки гуляли шубу порвали
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
гей розплетемо, шума розплетемо
шума розплетемо, гуляти підемо
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
гей нумо-нумо розплетемо шума
шума розплетемо, гуляти підемо
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
сію-вію сію-вію
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
сію-вію, сію-вію зеленесеньки
а в нашого шума зеленая шуба
дівки гуляли шубу порвали
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
гей розплетемо, шума розплетемо
шума розплетемо, гуляти підемо
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки
сію-вію, сію-вію конопелечки
сію-вію, сію-вію зеленесеньки",uk,1
2021,6,301,16,Finland,Blind Channel,Dark Side,"Put your middle fingers up
Take a shot, throw it up and don't stop
I'm, I'm, I'm living that life on the dark side
Every psycho in the scene
Hands up and follow me saying (hoo, hoo, hoo, hoo)
Empire of the freaks, all drinks on me
Just another night in my pitch-black paradise
Don't wanna cry, so I gotta get paralyzed
My body is my weapon, so I keep it loaded
'Til I'm all over the place like my head exploded
Don't waste your prayers, they can't save us
Lifestyles of the sick and dangerous
Put your middle fingers up
Take a shot, throw it up and don't stop
I'm, I'm, I'm living that life on the dark side
Like the 27 Club, headshot, we don't wanna grow up
I'm, I'm, I'm living that life on the dark side
Life on the dark side
Every psycho in the scene
Hands up and follow me saying (hoo, hoo, hoo, hoo)
Empire of the freaks, all drinks on me
I'm in a cave of man-made misery
Digging a grave for myself and my enemies
Of all the dark things that keep me wasted
You're the sweetest I've ever tasted
Put your middle fingers up
Take a shot, throw it up and don't stop
I'm, I'm, I'm living that life on the dark side
Like the 27 Club, headshot, we don't wanna grow up
I'm, I'm, I'm living that life on the dark side
Life on the dark side
Just another night in my pitch-black paradise
Don't wanna cry, so I gotta get paralyzed
Don't waste your prayers, they can't save us
Lifestyles of the sick and dangerous
Put your middle fingers up
Take a shot, throw it up and don't stop
I'm, I'm, I'm living that life on the dark side
Like the 27 Club, headshot, we don't wanna grow up
I'm, I'm, I'm living that life on the dark side
Life on the dark side
Every psycho in the scene
Hands up and follow me saying (hoo, hoo, hoo, hoo)
Empire of the freaks, all drinks on me","put your middle fingers up
take a shot, throw it up and don't stop
i'm, i'm, i'm living that life on the dark side
every psycho in the scene
hands up and follow me saying (hoo, hoo, hoo, hoo)
empire of the freaks, all drinks on me
just another night in my pitch-black paradise
don't wanna cry, so i gotta get paralyzed
my body is my weapon, so i keep it loaded
'til i'm all over the place like my head exploded
don't waste your prayers, they can't save us
lifestyles of the sick and dangerous
put your middle fingers up
take a shot, throw it up and don't stop
i'm, i'm, i'm living that life on the dark side
like the 27 club, headshot, we don't wanna grow up
i'm, i'm, i'm living that life on the dark side
life on the dark side
every psycho in the scene
hands up and follow me saying (hoo, hoo, hoo, hoo)
empire of the freaks, all drinks on me
i'm in a cave of man-made misery
digging a grave for myself and my enemies
of all the dark things that keep me wasted
you're the sweetest i've ever tasted
put your middle fingers up
take a shot, throw it up and don't stop
i'm, i'm, i'm living that life on the dark side
like the 27 club, headshot, we don't wanna grow up
i'm, i'm, i'm living that life on the dark side
life on the dark side
just another night in my pitch-black paradise
don't wanna cry, so i gotta get paralyzed
don't waste your prayers, they can't save us
lifestyles of the sick and dangerous
put your middle fingers up
take a shot, throw it up and don't stop
i'm, i'm, i'm living that life on the dark side
like the 27 club, headshot, we don't wanna grow up
i'm, i'm, i'm living that life on the dark side
life on the dark side
every psycho in the scene
hands up and follow me saying (hoo, hoo, hoo, hoo)
empire of the freaks, all drinks on me",en,0
